sku_id,attribute,title,evidence,proposed_value,proposed_status,agreement,alternatives,corrected_value,corrected_status,note
shopify:www.thursdayboots.com:7593564405850,colour_primary,Cobbler's Choice Premium Dauber Brush | Tan,Product Features Applies Leather Creams and Polishes Premium Horsehair Bristles Solid Grooved Wood Handle Handcrafted with Integrity Shipping Info Domestic shipping: 2-6 business days International shipping available Expedited shipping opti,beige,labeled,1.00,brown,,,
shopify:fahertybrand.com:8021113274437,silhouette,Sophia Smocked Dress - Coastal Bloom,"Designed with an easy, flattering shape, this sleeveless dress features a fully smocked bodice with a soft scoop neckline and a gently flared skirt. Made from a smooth, lightweight fabric that moves naturally, it feels comfortable and breat",flare,labeled,0.60,fit_and_flare,,,
shopify:fahertybrand.com:7055925805125,details,"Belt Loop All Day Shorts (9"") - Ice Grey","You know them, you love them, our All Day™ Shorts look perfectly tailored with a flat front style and have the water repellant technical performance of swimwear for increased movement and breathability. Each pair is crafted in our premium e",none,labeled,0.60,lined,,,
shopify:www.rothys.com:6819502194782,garment_category,The Crossbody Strap - Spruce Camo,"The Crossbody Strap in Spruce Camo Durably knit design in a navy, olive and dark green camo pattern. Two end snap hooks make it easy to clip onto several styles, of which you will find plenty in The Bag Bar. Sturdy sliding buckle allows you",bag,labeled,1.00,other,,,
shopify:www.outdoorvoices.com:7769243320398,pattern,Sunny Sweatpant,Wide leg sweatpant in Strobe Fleece; a structured and ultra soft cotton fleece. The sweatpant features a technical nylon waistband for a clean and comfortable waistband that doesn’t add bulk with a bungee cord and toggle for an adjustable f,graphic,labeled,0.80,abstract,,,
shopify:www.everlane.com:7855403958358,details,Cowl Neck Mini Dress | Black,"This double-layer mini dress has a soft, draped neckline that falls into a shallow cowl at the front and a deeper cowl at the back. Slim through the hips before flowing straight, it keeps the silhouette clean while letting the drape do the ",lined,labeled,0.80,none,,,
shopify:www.thursdayboots.com:7539260391514,details,Captain | Mocha,Product Features Mocha WeatherSafe™ Suede Goodyear Welt Construction for Longevity Fully Lined Supple Glove Leather Interior Premium Flat Waxed Cotton Laces Custom Developed Reinforced Eyelets Poron® Antimicrobial Shock Absorbing Insoles Co,lined|studded,labeled,1.00,lined,,,
shopify:www.taylorstitch.com:7355710931021,garment_category,The Button Down Polo in Cilantro Herringbone,The Button Down Polo in Cilantro Herringbone from Taylor Stitch 100% organic cotton. 14 gauge yarns. Herringbone knit construction on the body and sleeves. Flat rib knit collar. 1x1 rib on sleeve and bottom opening. Straight hem. Hand wash ,shirt_blouse,labeled,0.60,top,,,
shopify:fahertybrand.com:6900366082117,closure,"Belt Loop All Day Shorts (7"") - Turquoise Sky","You know them, you love them, our All Day™ Shorts look perfectly tailored with a flat front style and have the water repellant technical performance of swimwear for increased movement and breathability. Each pair is crafted in our premium e",zip,labeled,0.80,fly,,,
shopify:www.everlane.com:7784911372374,sleeve_style,Cinched Dress in Stretch Linen | Estate Blue,"A midi dress with a V-neckline and soft, dolman flutter sleeves, it features gathered detailing at the waist to create shape. Made from our stretch linen fabric, it balances structure and movement. Easy to wear with flat sandals for day or ",dolman,labeled,1.00,flutter,,,
shopify:www.taylorstitch.com:7579181809741,garment_category,The Button Down Polo in Desert Herringbone,The Button Down Polo in Desert Herringbone from Taylor Stitch 100% organic cotton. 14 gauge yarns. Herringbone knit construction on the body and sleeves. Flat rib knit collar. 1x1 rib on sleeve and bottom opening. Straight hem. Hand wash co,shirt_blouse,labeled,1.00,top,,,
shopify:fahertybrand.com:8133911969861,colour_primary,Jalen Brunson High Standard Fleece Hoodie - Antique Ivory Heather,"e teamed up with Jalen Brunson on a small collection of everyday styles built around one idea: show up, do the work, repeat. Classic Faherty craftsmanship and Jalen's off-court style come together in relaxed fits and quality materials that ",white,labeled,0.60,beige,,,
shopify:www.thursdayboots.com:7332008624218,colour_primary,Everyday Tote | Cuero (M) (Gold),Product Features Cuero Full-Grain Leather Internal Pocket For Easy Storage Convenient Phone Compartment For Quick Access Double Leather Handles For Durability Long-Lasting Rivets With Gold Finish Handcrafted With Integrity Shipping Info Fre,metallic,labeled,0.40,brown,,,
shopify:www.untuckit.com:7853284458574,occasion,Stretch Cotton Hybrid Pants,"Want that weekend feel all week long? Our newest pants are have a polished, plain front with an elastic waist in the back for all-day comfort, plus an interior drawstring that lets you fine-tune the fit. They're the ultimate everyday trouse",work,labeled,0.60,casual,,,
shopify:www.rothys.com:6819497214046,garment_category,The Crossbody Strap - Desert Cat,"The Crossbody Strap in Desert Cat Durably knit design in a cream and black leopard print. Two end snap hooks make it easy to clip onto several styles, of which you will find plenty in The Bag Bar. Sturdy sliding buckle allows you to adjust ",bag,labeled,0.80,other,,,
shopify:fahertybrand.com:8021061730373,garment_category,Sunwashed Regenerative Tee - Blue Ravine Tie Dye,"Inspired by vintage T-shirts, this relaxed tee is made from a lightweight slub jersey that feels soft and breathable. Crafted from 100% regenerative organic cotton, each piece has subtle texture and natural variation that gives it a worn-in",shirt_blouse,labeled,0.60,top,,,
shopify:www.thursdayboots.com:6869689598042,details,[S] Captain | Black Matte,Product Features Black Matte Rugged & Resilient Leather Goodyear Welt Construction for Longevity Fully Lined Supple Glove Leather Interior Hardwearing Steel Shanks Poron® Antimicrobial Shock Absorbing Insoles Long-Lasting Kevlar® Blend Lace,lined|studded,labeled,1.00,lined,,,
shopify:www.everlane.com:7784911405142,sleeve_style,Cinched Dress in Stretch Linen | Bone,"A midi dress with a V-neckline and soft, dolman flutter sleeves, it features gathered detailing at the waist to create shape. Made from our stretch linen fabric, it balances structure and movement. Easy to wear with flat sandals for day or ",dolman,labeled,1.00,flutter,,,
shopify:fahertybrand.com:7492251582533,material,Denim Michelle Short-Sleeve Jumpsuit - Cloudlight Wash,"Jumpsuits are always a favorite, and our newest utility-inspired silhouette is no exception. Designed with short sleeves, a button-front closure, and plenty of pockets, this piece blends vintage vibes with modern functionality. Crafted from",cotton,labeled,0.80,denim,,,
shopify:www.taylorstitch.com:6865636294733,occasion,The Workhorse Jacket in Coal Chipped Canvas,The Workhorse Jacket in Coal Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. Custom developed for Taylor Stitch. 8.5-oz. 100% organic cotton corduroy on collar and inside cuffs. 7-oz. 100% organic cotton brushed pocke,work,labeled,1.00,casual,,,
shopify:www.everlane.com:7859754434646,sleeve_style,Cinched Dress in Stretch Linen | Henna Red,"A midi dress with a V-neckline and soft, dolman flutter sleeves, it features gathered detailing at the waist to create shape. Made from our stretch linen fabric, it balances structure and movement. Easy to wear with flat sandals for day or ",dolman,labeled,0.80,flutter,,,
shopify:www.everlane.com:7841452032086,details,Lace Knit Maxi Sweater Dress | Henna Red,"Your most dressy summer vacation dress or the perfect option for wedding season, this V-neck maxi dress features an intricate lace knit pattern across the full silhouette. A seam above the knee shifts the stitch, creating a subtle flare thr",none,labeled,0.80,lined,,,
shopify:www.everlane.com:7793247748182,colour_primary,Forever Jersey Cropped Tee | Burnished Lilac,"Cut from regenerative cotton with a cropped length that hits just right. Oversized through the body with dropped shoulders and a relaxed crew neckline. Medium weight with a soft, lived-in feel from the first wear. Pair it with high-waisted ",purple,labeled,0.60,pink,,,
shopify:www.everlane.com:7827412713558,material,Cowl Neck Twist Tank in Butterluxe | Black,"This tank features a draped cowl neckline created by a twisted shoulder detail. The slim fit keeps the silhouette clean, while the soft knit adds just enough structure to hold the shape. It’s an easy piece to dress up for summer evenings—ju",knit,labeled,0.60,synthetic,,,
shopify:www.american-giant.com:8226070954165,garment_category,Men's Broken-In Premium Slub Henley - Washed Dark Charcoal,Premium Slub Henley T,shirt_blouse,labeled,1.00,top,,,
shopify:www.taylorstitch.com:7454613602381,colour_primary,The Eastmoor Sweater in Navy Fair Isle Wool,The Eastmoor Sweater in Navy Fair Isle Wool from Taylor Stitch 100% Responsible Wool Standard (RWS) wool. 5 gauge yarns. Jersey construction. Single layer 2x2 rib at cuffs and bottom opening. Double layer 2x2 rib at neck opening. Hand wash ,blue,labeled,0.60,navy,,,
shopify:www.everlane.com:7825077862486,colour_primary,Open-Knit Tunic Vest in Elevated Cotton | Peyote,"A tunic-style vest that leans more warm-weather layer than sweater. With a wide boat neckline and sleeveless silhouette, it offers subtle shoulder coverage. Hitting below the hip, it creates an easy, relaxed line through the body. Made with",white,labeled,1.00,beige,,,
shopify:www.tentree.com:8143553757370,garment_category,Blocked Banshee Hoodie,"This relaxed fit, cowl neck hoodie will keep you cozy wherever, whether that's on the top of a mountain or in front of a fireplace. Made from a thoughtful blend of organic cotton, recycled polyester, and TENCEL.",sweater,labeled,0.80,top,,,
shopify:www.thursdayboots.com:7593561751642,colour_primary,Cobbler's Choice Premium Welt Brush | Tan,Product Features Brushes Away Hard to Reach Dirt and Dust Around the Welt of the Boot Premium Horsehair Bristles Solid Grooved Wood Handle Handcrafted with Integrity Shipping Info Domestic shipping: 2-6 business days International shipping ,beige,labeled,1.00,brown,,,
shopify:www.taylorstitch.com:7115853234253,colour_primary,The Cascade Shawl Cardigan in Heather Marine,"The Cascade Shawl Cardigan in Heather Marine from Taylor Stitch 100% RWS merino wool. 1.5 gauge yarns. Cable knit construction. 2x2 rib featured on shawl collar, placket, cuffs, pocket, and bottom opening. Shawl collar. Raglan sleeve. Two l",navy,labeled,0.80,blue,,,
shopify:www.everlane.com:7827422478422,material,Halter Tank | White,"Fully lined and made from a substantial knit, this top is comfortable enough to wear without a bra. Sleek, modern, and confidence-boosting.",synthetic,labeled,0.40,knit,,,
shopify:www.everlane.com:7810433941590,colour_primary,Notch Collar Shirt in Silk Georgette | Gardenia/Black Micro Dot,"Meet your new go-to short-sleeve shirt. With its V-neckline and notch collar, it has gentle gathers at the cuffs and is finished with picot-edge embroidery. Made with a lightweight silk georgette with a crepey feel and fluid drape, for easy",multicolour,labeled,1.00,black,,,
shopify:fahertybrand.com:7876140564549,details,Coastal Poplin Bondhi Dress - Black,"Crafted from organic cotton, this coastal poplin is tightly woven to hold rich, saturated color while maintaining a lightweight feel, holding its shape without stiffness and washed for a soft, lived-in finish. Designed with a softly shirred",pleated|washed|cutout,labeled,0.40,pleated|washed,,,
shopify:www.everlane.com:7855407923286,material,Halter Tank | Everglade,"Fully lined and made from a substantial knit, this top is comfortable enough to wear without a bra. Sleek, modern, and confidence-boosting.",knit,labeled,0.80,synthetic,,,
shopify:fahertybrand.com:8021115994181,occasion,Faherty x Quiksilver Fleece Zip Hoodie - Abyss Navy,"Part of our collaboration with Quiksilver, this zip hoodie is made from soft organic cotton fleece with vintage-inspired details throughout. Garment-dyed for rich color that softens over time, it’s finished with a full-zip front, double-lay",lounge,labeled,1.00,casual,,,
shopify:fahertybrand.com:8021115928645,garment_category,Faherty x Quiksilver Heavy Wash Tee - Teal Tropics,"Part of our collaboration with Quiksilver, this oversized, relaxed tee is made from a soft blend of organic and recycled cotton with a broken-in feel from the first wear. Garment-dyed for a vintage, sun-faded look that softens over time, it",shirt_blouse,labeled,0.80,top,,,
shopify:www.everlane.com:7855404318806,occasion,Luxe Rib V-Neck Henley | Heathered Light Grey,"A henley with a little extra. It features elbow-length sleeves, a clean V neckline, and a slim, easy fit. Non-functional buttons run along the neckline trim, with only the center front buttons designed to open—adding detail without changing",beach,labeled,0.60,casual,,,
shopify:fahertybrand.com:8021116059717,garment_category,Faherty x Quiksilver Heavy Wash Tee - White,"Part of our collaboration with Quiksilver, this oversized, relaxed tee is made from a soft blend of organic and recycled cotton with a broken-in feel from the first wear. Garment-dyed for a vintage, sun-faded look that softens over time, it",shirt_blouse,labeled,0.60,top,,,
shopify:www.thursdayboots.com:7332008296538,details,Everyday Tote | Cuero (S) (Gold),Product Features Cuero Full-Grain Leather Internal Pocket For Easy Storage Convenient Phone Compartment For Quick Access Double Leather Handles For Durability Long-Lasting Rivets With Gold Finish Handcrafted With Integrity Shipping Info Fre,studded,labeled,0.40,none,,,
shopify:www.taylorstitch.com:7307482300493,details,The Davis Shirt in Vintage White Fractal,"The Davis Shirt in Vintage White Fractal from Taylor Stitch Made in collaboration with Teresa Misagal of Dailola. 3.5-oz. 70% organic cotton, 30% linen. Custom print designed from Dailola artwork. Washed for a soft, lived-in feel. Camp coll",washed,labeled,1.00,washed|slit,,,
shopify:www.thursdayboots.com:7442149146714,details,[S] Cadet | Mocha,Product Features Mocha WeatherSafe™ Suede Goodyear Welt Construction for Longevity Fully Lined Supple Glove Leather Interior Premium Flat Waxed Cotton Laces Custom Developed Reinforced Eyelets Comfortable Shock Absorbing Insoles Cork-Bed Mi,lined|studded,labeled,1.00,lined,,,
shopify:www.taylorstitch.com:7579184529485,details,The Davis Shirt in Driftwood Eyelet,"The Davis Shirt in Driftwood Eyelet from Taylor Stitch 3.5-oz. 100% organic cotton embroidered eyelet. Washed for a soft, lived-in feel. Camp collar (no collar stand) meant to be worn open. Flat hem with vents at side seams. Double-needle f",washed|embroidered,labeled,1.00,embroidered|slit|washed,,,
shopify:fahertybrand.com:7552632389701,details,Eden Dress - Belmonte Floral,"Feminine and free-spirited, this floral dress is a wardrobe dream for sunny days and special outings. Made from soft, lightweight viscose, it features a flattering V-neck at the front and back, accented with delicate drawcord ties and playf",tiered|gathered,labeled,1.00,tiered,,,
shopify:www.everlane.com:7855407956054,material,Halter Tank | Passion Fruit,"Fully lined and made from a substantial knit, this top is comfortable enough to wear without a bra. Sleek, modern, and confidence-boosting.",knit,labeled,0.60,synthetic,,,
shopify:fahertybrand.com:6900366016581,details,"Belt Loop All Day Shorts (9"") - Turquoise Sky","You know them, you love them, our All Day™ Shorts look perfectly tailored with a flat front style and have the water repellent technical performance of swimwear for increased movement and breathability. Each pair is crafted in our premium e",none,labeled,0.60,lined,,,
shopify:www.everlane.com:7859024363606,details,Gauze Smocked Dress | Black,"This knee-length dress features any easy trapeze silhouette with smocked ruffle detailing for texture. Adjustable straps allow for a more personalized fit, while on-seam pockets add to its casual vibe. Made with our breezy, breathable organ",gathered,labeled,0.80,none,,,
shopify:fahertybrand.com:7552626360389,pattern,Surf Ghana High Standard Fleece Hoodie - Silver Ash Heather,"We set out to perfect the hoodie—super soft, just the right weight, and inspired by vintage athletic wear. Made from a durable blend of Pima and organic cotton, it’s built for comfort whether you’re lounging, layering, or on the move. Featu",graphic,labeled,1.00,solid,,,
